search number, title, link
000, SS4A-2023-Implementation-Grant-Award- ..., https://www.transportation.gov/sites/dot.gov/files/2023-12/SS4A-2023-Implementation-Grant-Award-Fact-Sheets.pdf
001, Safe Streets and Roads for All Fiscal Year 2023 Awards, https://www.transportation.gov/sites/dot.gov/files/2023-12/SS4A_FY23_Full_Award-List.xlsx
002, SAFE STREETS AND ROADS FOR ALL SAFETY ACTION PLAN, https://d144uep0xgc2gz.cloudfront.net/downloads/SS4A/Safety-Action-Plan/IMPO-CSAP-6.26.23.pdf
003, $25 million to improve dangerous Phoenix road, https://www.azfamily.com/2023/12/14/multi-million-dollar-plan-improve-safety-dangerous-phoenix-road/
000, SS4A-2023-Implementation-Grant-Award- ..., https://www.transportation.gov/sites/dot.gov/files/2023-12/SS4A-2023-Implementation-Grant-Award-Fact-Sheets.pdf
001, PHO-1-23--Z-9-19-4 (1).pdf, https://www.phoenix.gov/pddsite/Documents/PZ/PHO-1-23--Z-9-19-4%20%281%29.pdf
002, REPORT, http://www.scottsdaleaz.gov/Asset90874.aspx
003, Staff Report: Z-56-22-4 22nd & Indian School PUD ..., https://www.phoenix.gov/pddsite/Documents/PZ/Z-56-22%20Staff%20Report.pdf
