search number, title, link
000, SS4A-2023-Implementation-Grant-Award- ..., https://www.transportation.gov/sites/dot.gov/files/2023-12/SS4A-2023-Implementation-Grant-Award-Fact-Sheets.pdf
001, USDOT Fiscal Year 2023 Safe Streets and Roads for All ..., https://www.federalregister.gov/documents/2023/04/12/2023-07716/usdot-fiscal-year-2023-safe-streets-and-roads-for-all-funding
002, FY23 Planning and Demonstration Awards by State, https://www.transportation.gov/sites/dot.gov/files/2023-12/FY23_SS4A_PDG-Awards-by-State.pdf
003, 2023 Street Transportation Department Year-End Review, https://www.phoenix.gov/newsroom/street-transportation/2956
004, SAFE STREETS AND ROADS FOR ALL SAFETY ACTION PLAN, https://d144uep0xgc2gz.cloudfront.net/downloads/SS4A/Safety-Action-Plan/IMPO-CSAP-6.26.23.pdf
000, SS4A-2023-Implementation-Grant-Award- ..., https://www.transportation.gov/sites/dot.gov/files/2023-12/SS4A-2023-Implementation-Grant-Award-Fact-Sheets.pdf
001, Safe Streets and Roads for All, https://ecivis-partners.s3.amazonaws.com/bplih/grantfile/26/26f22666c9e535553946da588ae7568354c2d9ff
002, A Call to Action: Together We Can Transform Roadway Safety, https://highways.dot.gov/sites/fhwa.dot.gov/files/Safety%20Compass%20Summer%202023%20Volume%2017%2C%20Issue%202.pdf
003, 2021–2025 Maryland Strategic Highway Safety Plan, https://zerodeathsmd.gov/wp-content/uploads/2023/11/SHSP2021-25_compressed.pdf
