search number, title, link
000, SS4A-2023-Implementation-Grant-Award- ..., https://www.transportation.gov/sites/dot.gov/files/2023-12/SS4A-2023-Implementation-Grant-Award-Fact-Sheets.pdf
001, 2023 Street Transportation Department Year-End Review, https://www.phoenix.gov/newsroom/street-transportation/2956
002, Safe Streets and Roads for All, https://ecivis-partners.s3.amazonaws.com/bplih/grantfile/26/26f22666c9e535553946da588ae7568354c2d9ff
003, SAFE STREETS AND ROADS FOR ALL SAFETY ACTION PLAN, https://d144uep0xgc2gz.cloudfront.net/downloads/SS4A/Safety-Action-Plan/IMPO-CSAP-6.26.23.pdf
004, Safe Streets and Roads for All Fiscal Year 2023 Awards, https://www.transportation.gov/sites/dot.gov/files/2024-02/SS4A-FY23_Award-List_Dec2023.xlsx
000, SS4A-2023-Implementation-Grant-Award- ..., https://www.transportation.gov/sites/dot.gov/files/2023-12/SS4A-2023-Implementation-Grant-Award-Fact-Sheets.pdf
001, Safe Streets and Roads for All, https://ecivis-partners.s3.amazonaws.com/bplih/grantfile/26/26f22666c9e535553946da588ae7568354c2d9ff
002, A Call to Action: Together We Can Transform Roadway Safety, https://highways.dot.gov/sites/fhwa.dot.gov/files/Safety%20Compass%20Summer%202023%20Volume%2017%2C%20Issue%202.pdf
003, Staff Report: Z-56-22-4 22nd & Indian School PUD ..., https://www.phoenix.gov/pddsite/Documents/PZ/Z-56-22%20Staff%20Report.pdf
