search number, title, link
000, SS4A-2023-Implementation-Grant-Award- ..., https://www.transportation.gov/sites/dot.gov/files/2023-12/SS4A-2023-Implementation-Grant-Award-Fact-Sheets.pdf
001, 2023 Street Transportation Department Year-End Review, https://www.phoenix.gov/newsroom/street-transportation/2956
002, USDOT Fiscal Year 2023 Safe Streets and Roads for All ..., https://www.federalregister.gov/documents/2023/04/12/2023-07716/usdot-fiscal-year-2023-safe-streets-and-roads-for-all-funding
003, Safe Streets and Roads for All (SS4A) Grant Program, https://www.transportation.gov/grants/SS4A
000, Staff Report: Z-56-22-4 22nd & Indian School PUD ..., https://www.phoenix.gov/pddsite/Documents/PZ/Z-56-22%20Staff%20Report.pdf
001, A Call to Action: Together We Can Transform Roadway Safety, https://highways.dot.gov/sites/fhwa.dot.gov/files/Safety%20Compass%20Summer%202023%20Volume%2017%2C%20Issue%202.pdf
002, Staff Report: PHO-1-23--Z-9-19-4, https://www.phoenix.gov/pddsite/Documents/PZ/Staff%20Report%20PHO-1-23--Z-9-19.pdf
003, RFP-2023-342-SS4A-Safety-Action-Plan.pdf, https://ocgov.net/assets/Planning/Docs/RFP-2023-342-SS4A-Safety-Action-Plan.pdf
